user_id,page_views,add_to_cart,purchase,use_count,days_to_first_use,days_since_last_use,年龄,职业,性别,使用频率（次/周）,主要使用时间,使用时间段,是否脏数据
293.0,1,0,0,0,4.0,60.0,22,大学生,女,4,20:00-21:30,18:00-20:00,否
291.0,1,0,0,0,6.0,360.0,15,初中生,男,6,20:30-22:00,19:00-22:00,否
289.0,1,0,0,0,6.0,12.0,50,教师,女,3,20:30-22:00,12:00-14:00,否
358.0,1,1,0,0,5.0,75.0,15,初中生,男,7,17:00-19:00,18:00-21:00,否
333.0,1,0,0,0,5.0,242.0,14,初中生,男,6,19:00-21:00,19:00-22:00,否
280.0,1,1,0,0,2.0,56.0,14,初中生,男,5,17:00-19:00,18:00-21:00,否
139.0,1,0,0,0,6.0,270.0,22,大学生,男,4,20:00-21:30,20:00-23:00,否
232.0,1,0,0,0,5.0,220.0,20,大学生,女,4,19:00-21:00,18:00-20:00,否
239.0,1,1,0,0,1.0,0.0,13,初中生,男,6,17:00-19:00,18:00-21:00,否
351.0,1,0,0,0,3.0,308.0,20,大学生,男,6,9:00-11:00,18:00-20:00,是
451.0,1,1,1,1,7.0,80.0,15,初中生,女,7,17:00-19:00,19:00-22:00,否
110.0,1,0,0,0,2.0,82.0,17,高中生,男,7,17:00-19:00,18:00-21:00,否
304.0,1,0,0,0,0.0,312.0,18,高中生,女,6,17:00-19:00,19:00-22:00,否
322.0,1,0,0,0,0.0,100.0,35,教培机构人员,女,1,20:00-21:30,12:00-14:00,否
425.0,1,0,0,0,4.0,196.0,14,初中生,男,5,20:30-22:00,18:00-21:00,否
157.0,1,0,0,0,2.0,72.0,15,初中生,男,5,20:00-21:30,19:00-22:00,否
,1,0,0,0,,,120,夜猫分析师,,46,,午午午,是
476.0,1,0,0,0,5.0,324.0,17,高中生,女,6,20:00-21:30,18:00-21:00,否
412.0,1,0,0,0,5.0,60.0,12,初中生,男,5,9:00-11:00,19:00-22:00,否
270.0,1,0,0,0,4.0,468.0,56,教师,男,2,20:00-21:30,07:00-09:00,否
,1,0,0,0,,,0,钢笔玩家,,29,,时间裂缝,是
,1,1,1,1,,,200,钢笔玩家,,27,,时间裂缝,是
303.0,1,0,0,0,3.0,9.0,21,大学生,女,5,20:30-22:00,20:00-23:00,否
227.0,1,0,0,0,5.0,364.0,37,销售经理,男,1,9:00-11:00,07:00-09:00,否
269.0,1,1,0,0,4.0,90.0,43,运营人员,男,4,9:00-11:00,20:00-22:00,否
367.0,1,0,0,0,4.0,175.0,35,教师,女,1,20:00-21:30,12:00-14:00,是
,1,1,1,1,,,200,夜猫分析师,,37,,随机时间,是
120.0,1,0,0,0,6.0,140.0,13,初中生,男,5,15:00-17:00,19:00-22:00,否
434.0,1,0,0,0,3.0,110.0,18,高中生,男,5,20:30-22:00,18:00-21:00,否
171.0,1,1,1,0,6.0,90.0,12,初中生,女,7,20:00-21:30,18:00-21:00,否
,1,1,0,0,,,0,XX科技家长,,23,,午午午,是
